Court Name,Court ID
Albemarle,003C
Alleghany,005C
Amelia,007C
Amherst,009C
Appomattox,011C
Arlington,013C
Augusta,015C
Bath,017C
Bedford,019C
Bland,021C
Botetourt,023C
Bristol,520C
Brunswick,025C
Buchanan,027C
Buckingham,029C
Buena Vista,530C
Campbell,031C
Caroline,033C
Carroll,035C
Charles City,036C
Charlotte,037C
Charlottesville,540C
Chesapeake,550C
Chesterfield,041C
Clarke,043C
Clifton Forge,560C
Colonial Heights,570C
Craig,045C
Culpeper,047C
Cumberland,049C
Danville,590C
Dickenson,051C
Dinwiddie,053C
Essex,057C
Fauquier,061C
Floyd,063C
Fluvanna,065C
Franklin,067C
Frederick,069C
Fredericksburg,630C
Giles,071C
Gloucester,073C
Goochland,075C
Grayson,077C
Greene,079C
Greensville,081C
Halifax,083C
Hampton,650C
Hanover,085C
Henrico,087C
Henry,089C
Highland,091C
Hopewell,670C
Isle of Wight,093C
King and Queen,097C
King George,099C
King William,101C
Lancaster,103C
Lee,105C
Loudoun,107C
Louisa,109C
Lunenburg,111C
Lynchburg,680C
Madison,113C
Martinsville,690C
Mathews,115C
Mecklenburg,117C
Middlesex,119C
Montgomery,121C
Nelson,125C
New Kent,127C
Newport News,700C
Norfolk,710C
Northampton,131C
Northumberland,133C
Nottoway,135C
Orange,137C
Page,139C
Patrick,141C
Petersburg,730C
Pittsylvania,143C
Portsmouth,740C
Powhatan,145C
Prince Edward,147C
Prince George,149C
Prince William,153C
Pulaski,155C
Radford,750C
Rappahannock,157C
Richmond City,760C
Richmond County,159C
Roanoke City,770C
Roanoke County,161C
Rockbridge,163C
Rockingham,165C
Russell,167C
Salem,775C
Scott,169C
Shenandoah,171C
Smyth,173C
Southampton,175C
Spotsylvania,177C
Stafford,179C
Staunton,790C
Suffolk,800C
Surry,181C
Sussex,183C
Tazewell,185C
Virginia Beach,810C
Warren,187C
Washington,191C
Waynesboro,820C
Westmoreland,193C
Williamsburg/James City County,830C
Winchester,840C
Wise,195C
Wythe,197C
York County/Poquoson,199C
